#{"t_start": 1775187436.8245802, "env_id": "OpenTheChests-v2"}
r,l,t
-32.0,518,433.246361
-32.0,520,433.820637
-30.0,516,437.543803
-34.0,515,438.114085
-31.0,516,438.687477
-32.0,515,442.217494
-30.0,517,442.790868
-32.0,517,443.363559
-34.0,517,443.937863
-34.0,538,447.623928
-33.0,516,448.195439
-30.0,516,448.763613
-32.0,516,449.331313
-32.0,517,453.203373
-36.0,519,453.777239
-30.0,514,454.348239
-32.0,518,454.92293
-30.0,515,458.680134
-30.0,517,459.253917
-30.0,522,459.833338
-30.0,515,460.402878
-30.0,518,464.365937
-32.0,519,464.942431
-7.0,162,465.123585
-30.0,513,465.688855
-32.0,532,466.276018
-30.0,513,470.312136
-30.0,516,470.883203
-30.0,512,471.450748
-30.0,516,472.023297
-30.0,513,475.733504
-34.0,526,476.319463
-30.0,514,476.888305
-32.0,537,477.480556
-30.0,515,481.19522
-30.0,518,481.765871
-30.0,514,482.334051
-30.0,515,482.906773
-30.0,517,486.620365
-30.0,524,487.203366
-30.0,515,487.77532
-30.0,514,488.345826
-30.0,518,491.956944
-30.0,515,492.524856
-30.0,515,493.091015
-30.0,515,493.658118
-30.0,515,497.407419
-30.0,513,497.976344
-30.0,528,498.564167
-30.0,513,499.13424
-32.0,517,502.796996
-30.0,519,503.372752
-30.0,534,503.9656
-30.0,532,504.551627
-33.0,519,508.223143
-30.0,516,508.792436
-30.0,518,509.365215
-34.0,517,509.94077
-30.0,521,513.634099
-30.0,514,514.203844
-30.0,518,514.77745
-30.0,524,518.221516
-32.0,517,518.793786
-30.0,514,519.362338
-30.0,521,519.932854
-30.0,546,523.682578
-30.0,515,524.250627
-30.0,517,524.819086
-31.0,518,525.392908
-30.0,514,528.925466
-30.0,514,529.493975
-29.0,516,530.064538
-30.0,514,530.63326
-30.0,513,534.4333
-30.0,514,535.00098
-31.0,536,535.589609
-30.0,517,536.177499
-30.0,515,539.890151
-41.0,515,540.45763
-39.0,513,541.025632
-36.0,515,541.596019
-38.0,514,545.375889
-30.0,514,545.9465
